instrument	filters	PID
ACS   	CLEAR1L;F435W	10452
ACS   	CLEAR1L;F435W	11675
ACS   	CLEAR1L;F435W	13433
ACS   	CLEAR1L;F814W	10452
ACS   	CLEAR1L;F814W	11675
ACS   	CLEAR1L;F814W	13433
ACS   	CLEAR1L;F814W	14704
ACS   	CLEAR1L;F814W	15645
ACS   	CLEAR1L;F814W	16508
ACS   	CLEAR1S;F220W	10182
ACS   	CLEAR1S;F250W	10182
ACS   	CLEAR1S;F330W	9379
ACS   	CLEAR1S;F330W	10182
ACS   	CLEAR1S;F814W	10877
ACS   	CLEAR1S;PR200L	10182
ACS   	F502N;F660N	10729
ACS   	F502N;F660N	10758
ACS   	F502N;F660N	12732
ACS   	F502N;F660N	12783
ACS   	F502N;F660N	13154
ACS   	F502N;F660N	14395
ACS   	F502N;F660N	15757
ACS   	F555W;CLEAR2L	10452
ACS   	F555W;CLEAR2L	11675
ACS   	F555W;CLEAR2L	13433
ACS   	F555W;CLEAR2S	10498
ACS   	F555W;CLEAR2S	10877
ACS   	F606W;CLEAR2L	14704
ACS   	F606W;CLEAR2L	16508
ACS   	F658N;CLEAR2L	10452
ACS   	F775W;CLEAR2L	9558
ACS   	F775W;F330W	10729
ACS   	F775W;F330W	10758
FOC   	CLEAR1;CLEAR2;CLEAR3;F372M	4071
FOC   	CLEAR1;CLEAR2;CLEAR3;F410M	4071
FOC   	CLEAR1;F275W;CLEAR3;CLEAR4	4071
MIRI	CH12;LONG, CH34;LONG, F1280W	3435
MIRI	CH12;MEDIUM, CH34;MEDIUM, F1000W	3435
MIRI	CH12;SHORT, CH34;SHORT, F770W	3435
MIRI	CH1;LONG, CH1;MEDIUM, CH1;SHORT, CH2;LONG, CH2;MEDIUM, CH2;SHORT, CH3;LONG, CH3;MEDIUM, CH3;SHORT, CH4;LONG, CH4;MEDIUM, CH4;SHORT	3435
MIRI	CH1;LONG, CH1;MEDIUM, CH1;SHORT, CH2;LONG, CH2;MEDIUM, CH2;SHORT, CH3;LONG, CH3;MEDIUM, CH3;SHORT, CH4;LONG, CH4;MEDIUM, CH4;SHORT, F1000W, F1280W, F770W	3435
MIRI	F1000W	3435
MIRI	F1000W, F1130W, F1280W, F1500W, F1800W, F2100W	3435
MIRI	F1130W	3435
MIRI	F1280W	3435
MIRI	F1500W	3435
MIRI	F1800W	3435
MIRI	F2100W	3435
MIRI	F560W	1240
MIRI	F560W	1783
MIRI	F560W, F770W	1783
MIRI	F770W	1783
MIRI	P750L	1240
NIRCAM	F090W;CLEAR, F410M;CLEAR	3990
NIRCAM	F115W;CLEAR, F150W;CLEAR, F187N;CLEAR, F200W;CLEAR, F300M;CLEAR, F335M;CLEAR, F444W;CLEAR, F444W;F405N	1783
NIRCAM	F115W;CLEAR, F335M;CLEAR	1783
NIRCAM	F140M;CLEAR, F150W2;F164N, F182M;CLEAR, F210M;CLEAR, F212N;CLEAR, F250M;CLEAR, F360M;CLEAR, F430M;CLEAR	3435
